ID,Blurb,Method,Scenario,Category,Label
1,"Counsel must work with the client to collect responsive information to answer all nonobjectionable interrogatories (or the parts of interrogatories that are not objectionable). The responder has a duty to conduct a reasonable investigation to obtain responsive information and to provide information from all sources under its control. (Regency Health Servs., Inc. v. Super. Ct. (1998) 64 Cal.App.4th 1496, 1504.) Because of the duty to investigate, a responding party may not simply state that it lacks personal knowledge to answer an interrogatory. It must make a reasonable and good faith effort to obtain the information by inquiring with other persons and organizations, unless the information is equally available to the propounding party. (CCP § 2030.220(c).)",Interrogatory,Interrogatory Responses,Insufficient Inquiry,Insufficient effort to obtain info
2,"The duty to answer interrogatories extends beyond personal knowledge. If a party lacks personal knowledge sufficient to respond fully, the party must make “a reasonable and good-faith effort to obtain the information” from other sources. (CCP § 2030.220(c); Sinaiko Healthcare Consulting, Inc. v. Pacific Healthcare Consultants (2007) 148 Cal.App.4th 390, 406.) For example, the responding party must obtain and disclose information from sources under its control (Deyo v. Kilbourne (1978) 84 Cal.App.3d 771, 782), as well as information in its counsel's possession. (Smith v. Super. Ct. (1961) 189 Cal.App.2d 6, 11 [upholding, in personal injury case, interrogatory seeking names of persons who witnessed accident].)",Interrogatory,Interrogatory Responses,Insufficient Inquiry,Lack of inquiry with agents / sources under responder’s control
3,"Information available from sources under the responding party's control includes nonprivileged facts known to its counsel, such as names of witnesses, even if the client has no personal knowledge of those facts. (Regency Health Servs., Inc. v. Super. Ct. (1998) 64 Cal.App.4th 1496, 1504.) ",Interrogatory,Interrogatory Responses,Insufficient Inquiry,Excludes counsel’s knowledge of nonprivileged facts
4,"Counsel for corporate entities responding to discovery must ensure that the officer or agent designated to answer the interrogatories (1) makes reasonable inquiries of employees, agents, and persons under the company’s control and (2) conducts a reasonable search of the company’s business records. The entity must gather information necessary to answer the interrogatories from all sources under its control, even if the information is not personally known to the designated officer or agent. (Gordon v. Super. Ct. (1984) 161 Cal.App.3d 157, 167-168.)",Interrogatory,Interrogatory Responses,Insufficient Verification,Entity verifier hasn’t established foundational knowledge / sufficient inquiry
5,"There are only four valid forms of responses to interrogatories: (1) stating a written answer to the interrogatory (xxxxx), (2) specifying and producing responsive documents instead of stating an answer to the interrogatory (only in limited circumstances) (xxxxx); objecting to the interrogatory as a whole (xxxxx), or (4) specifically identifying the objectionable portion of the interrogatory and, regarding the rest, stating a written answer or specifying and producing responsive documents. (CCP §§ 2030.210(a), 2030.230, and 2030.240.)",Interrogatory,Interrogatory Responses,Invalid Form of Response,Not one of four valid forms of response
6,"Blanket, untailored (aka “boilerplate”) objections are improper because objections, even if identical, must be interposed in response to each individual purportedly objectionable interrogatory. (CCP § 2030.210(a)(3).) A motion to compel lies where objections to interrogatories are ""too general."" (CCP § 2030.300(a)(3).)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Boilerplate Objections
7,A party must respond separately to each interrogatory. (CCP § 2030.210(a).),Interrogatory,Interrogatory Responses,Invalid Form of Response,Bulk responses 
8,"Each answer must be as complete and straightforward as the information reasonably available to the responding party permits. (CCP § 2030.220(a); Field v. U.S. Bank Natl. Assn. (2022) 79 Cal.App.5th 703, 708 [responding party must be diligent and straightforward in answering interrogatories].) If the responding party cannot answer an interrogatory completely, it must answer to the extent possible. (CCP § 2030.220(b).) An incomplete or evasive answer that provides only a portion of the information sought is improper and may subject the responding party to a motion to compel and sanctions. (CCP § 2030.300(a)(1), (d); Deyo v. Kilbourne (1978) 84 Cal.App.3d 771, 783.)",Interrogatory,Interrogatory Responses,Incomplete Response,"Generally evasive, cagey response"
9,"If the responding party does not have sufficient personal knowledge to fully answer an interrogatory, the party must state this explicitly in the response, and must make a reasonable and good faith effort to obtain the information by inquiring with other persons or organizations. (CCP § 2030.220(c).)",Interrogatory,Interrogatory Responses,Incomplete Response,Claimed lack of personal knowledge
10,"When objecting to an interrogatory, counsel must state the specific ground for the objection and timely assert the objection with any answers to the interrogatories. (CCP §§ 2030.210(a)(3), 2030.240(b), and 2030.290(a).)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Failure to state specific ground for objection
